id,status,peak_year
4,no_peak,2100
8,peaked,1991
12,2055plus,2090
16,peaked,2002
20,2050,2035
24,no_peak,2100
28,2050,2038
31,2050,2050
32,2050,2050
36,no_peak,2100
40,peaked,2023
44,2050,2050
48,no_peak,2100
50,2055plus,2071
51,peaked,1991
52,2050,2028
56,2050,2044
60,peaked,2022
64,2050,2052
68,2055plus,2086
70,peaked,1991
72,2055plus,2088
76,2050,2042
84,2055plus,2063
90,no_peak,2100
92,2050,2039
96,2055plus,2055
100,peaked,1988
104,2050,2049
108,no_peak,2100
112,peaked,1993
116,2055plus,2078
120,no_peak,2100
124,no_peak,2100
132,2050,2051
136,2055plus,2097
140,no_peak,2100
144,2050,2051
148,no_peak,2100
152,2050,2041
156,peaked,2021
158,peaked,2019
170,2050,2050
174,no_peak,2100
175,no_peak,2100
178,no_peak,2100
180,no_peak,2100
184,peaked,1971
188,2050,2044
191,peaked,1990
192,peaked,2012
196,2050,2052
203,peaked,2023
204,no_peak,2100
208,2050,2042
212,peaked,1980
214,2055plus,2061
218,2055plus,2063
222,2050,2047
226,no_peak,2100
231,no_peak,2100
232,no_peak,2100
233,peaked,1990
234,2055plus,2079
238,peaked,2018
242,2050,2054
246,2050,2025
250,2055plus,2095
254,no_peak,2100
258,2050,2040
262,no_peak,2100
266,no_peak,2100
268,peaked,1988
270,no_peak,2100
275,no_peak,2100
276,peaked,2024
288,no_peak,2100
292,2055plus,2070
296,2055plus,2099
300,peaked,2010
304,peaked,2005
308,2050,2031
312,peaked,1999
316,2055plus,2090
320,2055plus,2077
324,no_peak,2100
328,2055plus,2067
332,2055plus,2076
336,no_peak,2100
340,2055plus,2090
344,peaked,2020
348,peaked,1980
352,2050,2049
356,2055plus,2061
360,2055plus,2058
364,2050,2053
368,no_peak,2100
372,2050,2053
376,no_peak,2100
380,peaked,2014
384,no_peak,2100
388,peaked,2023
392,peaked,2009
398,no_peak,2100
400,no_peak,2100
404,2055plus,2098
408,2050,2032
410,peaked,2020
412,peaked,1997
414,no_peak,2100
417,no_peak,2100
418,2055plus,2068
422,2055plus,2080
426,2055plus,2083
428,peaked,1989
430,no_peak,2100
434,2055plus,2086
438,no_peak,2100
440,peaked,1991
442,2055plus,2061
446,2050,2031
450,no_peak,2100
454,no_peak,2100
458,2055plus,2072
462,2055plus,2057
466,no_peak,2100
470,2050,2033
474,peaked,1999
478,no_peak,2100
480,peaked,2015
484,2055plus,2058
492,no_peak,2100
496,no_peak,2100
498,peaked,1991
499,peaked,2024
500,peaked,1950
504,2055plus,2058
508,no_peak,2100
512,no_peak,2100
516,no_peak,2100
520,no_peak,2100
524,2055plus,2067
528,2050,2041
531,peaked,2019
533,2050,2026
534,2050,2051
535,2050,2045
540,2055plus,2067
548,no_peak,2100
554,2055plus,2078
558,2055plus,2071
562,no_peak,2100
566,no_peak,2100
570,peaked,1966
578,2050,2050
580,peaked,2000
583,2055plus,2075
584,peaked,2010
585,peaked,2004
586,no_peak,2100
591,2055plus,2080
598,no_peak,2100
600,2055plus,2078
604,2055plus,2066
608,2055plus,2057
616,peaked,2023
620,peaked,2010
624,no_peak,2100
626,2055plus,2076
630,peaked,2001
634,no_peak,2100
638,2050,2049
642,peaked,1991
643,peaked,1991
646,no_peak,2100
652,2050,2047
654,peaked,1987
659,peaked,1960
660,2050,2036
662,2050,2032
663,peaked,2014
666,peaked,1995
670,peaked,2000
674,peaked,2020
678,no_peak,2100
682,no_peak,2100
686,no_peak,2100
688,peaked,1987
690,2050,2042
694,2055plus,2092
702,2050,2040
703,peaked,2023
704,2050,2049
705,peaked,2024
706,no_peak,2100
710,no_peak,2100
716,no_peak,2100
724,peaked,2023
728,no_peak,2100
729,no_peak,2100
732,2055plus,2089
740,2055plus,2071
748,2055plus,2063
752,2055plus,2079
756,2050,2051
760,2055plus,2086
762,no_peak,2100
764,peaked,2022
768,no_peak,2100
772,2055plus,2085
776,no_peak,2100
780,2050,2028
784,no_peak,2100
788,2050,2051
792,2050,2047
795,2055plus,2079
796,2050,2048
798,no_peak,2100
800,no_peak,2100
804,peaked,1993
807,peaked,2005
818,no_peak,2100
826,2055plus,2072
831,2050,2031
832,2050,2043
833,peaked,2011
834,no_peak,2100
840,no_peak,2100
850,peaked,1999
854,no_peak,2100
858,peaked,2020
860,no_peak,2100
862,2055plus,2057
876,peaked,2003
882,no_peak,2100
887,no_peak,2100
894,no_peak,2100
